,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_ID,Outlet_Age,Item_MRP_Group,price/weight
56,9.195,Low Fat,-3.033281753595619,106.1622,MED,Small,Tier 2,Supermarket Type1,2117.244,NC,11,B,11.545644371941272
57,8.365,Low Fat,-2.631669925800138,38.0506,MED,Medium,Tier 1,Supermarket Type1,796.9626,DR,14,A,4.548786610878661
58,15.1,Low Fat,-1.7516854433265976,194.511,MED,Small,Tier 1,Supermarket Type1,4910.275,FD,16,C,12.881523178807948
59,5.94,Low Fat,-2.7955351574855882,180.0344,LOW,Small,Tier 1,Grocery Store,892.172,FD,28,C,30.308821548821548
60,10.0,Low Fat,-3.7615014686958177,246.9144,MED,Medium,Tier 3,Supermarket Type2,3185.1872,FD,4,D,24.69144
61,7.97,Regular,-3.2170991291272277,87.3514,MED,Small,Tier 2,Supermarket Type1,1062.6168,FD,11,B,10.960025094102885
62,6.215,Low Fat,-4.415370493613208,38.2848,HIGH,Medium,Tier 3,Supermarket Type3,484.7024,FD,28,A,6.1600643604183425
63,15.5,Regular,-1.8952152001407176,51.0692,LOW,Small,Tier 1,Grocery Store,147.8076,FD,28,A,3.294787096774194
64,17.5,Low Fat,-3.64906203441004,255.8356,HIGH,Medium,Tier 3,Supermarket Type3,2543.356,FD,28,D,14.619177142857144
65,17.7,Low Fat,-1.634405904687971,185.4266,LOW,Small,Tier 3,Grocery Store,184.4266,FD,15,C,10.476079096045199
66,19.35,Low Fat,-3.4087594521807474,172.5738,MED,Small,Tier 2,Supermarket Type1,4865.6664,FD,9,C,8.918542635658914
67,13.65,Regular,-2.538985441125209,186.024,MED,Small,Tier 2,Supermarket Type1,1118.544,FD,11,C,13.628131868131868
68,17.6,Low Fat,-3.177236020845316,164.8526,MED,Small,Tier 2,Supermarket Type1,2302.3364,DR,11,C,9.366624999999999
69,8.645,Low Fat,-1.941959462305374,95.841,MED,Small,Tier 1,Supermarket Type1,2027.361,NC,16,B,11.086292654713708
70,15.6,Regular,-2.250979163481949,170.1764,MED,Small,Tier 1,Supermarket Type1,3435.528,FD,16,C,10.90874358974359
71,15.85,Regular,-2.1075817823158296,59.222,MED,High,Tier 3,Supermarket Type1,599.22,FD,26,A,3.7364037854889594
72,18.25,Low Fat,-2.864905902871379,164.7526,MED,Small,Tier 2,Supermarket Type1,4604.6728,FD,11,C,9.027539726027397
73,7.855,Low Fat,-4.480754793117746,189.6188,MED,Small,Tier 2,Supermarket Type1,2285.0256,FD,6,C,24.13988542329726
74,7.825,Low Fat,-1.6800902958638873,254.3698,MED,Medium,Tier 1,Supermarket Type1,5580.7356,NC,14,D,32.50732268370607
75,8.39,Regular,-3.721168747555993,114.0176,MED,Small,Tier 1,Supermarket Type1,2290.352,FD,16,B,13.589702026221692
76,12.85,Low Fat,-3.4042776407931465,172.3422,MED,Medium,Tier 1,Supermarket Type1,1207.0954,FD,14,C,13.411844357976653
77,13.35,Low Fat,-2.174012967230294,89.9804,LOW,Small,Tier 1,Grocery Store,643.1628,FD,28,B,6.740104868913858
78,19.0,Low Fat,-2.1842998989958247,104.9622,MED,Small,Tier 2,Supermarket Type1,1587.933,FD,6,B,5.524326315789473
79,5.905,Low Fat,-3.1368034798412174,222.5456,MED,Small,Tier 2,Supermarket Type1,5305.0944,FD,11,D,37.68765453005927
80,7.76,Low Fat,-2.8242653995828704,101.87,MED,Small,Tier 1,Supermarket Type1,1697.79,FD,16,B,13.12757731958763
81,11.8,Regular,-4.262498846428346,180.3344,MED,Small,Tier 1,Supermarket Type1,1427.4752,FD,16,C,15.28257627118644
82,16.75,Low Fat,-3.0959738246069337,187.9556,MED,Medium,Tier 3,Supermarket Type2,4693.89,FD,4,C,11.221229850746269
83,18.85,Low Fat,-1.2261578868159935,194.6136,LOW,Small,Tier 1,Grocery Store,583.2408,NC,28,C,10.324328912466843
84,12.6,Regular,-3.4615193967686193,171.3764,HIGH,Medium,Tier 3,Supermarket Type3,3091.9752,FD,28,C,13.601301587301586
85,15.5,Regular,-2.068312816297393,177.0028,MED,Small,Tier 2,Supermarket Type1,2479.4392,FD,6,C,11.419535483870968
86,6.055,Low Fat,-3.672852652165199,160.992,MED,Small,Tier 2,Supermarket Type1,2716.464,FD,9,C,26.58827415359207
87,20.2,Regular,-3.2427158279084165,155.963,HIGH,Medium,Tier 3,Supermarket Type3,3285.723,FD,28,C,7.720940594059406
88,6.305,Regular,-2.0946301955014843,95.6436,MED,Small,Tier 1,Supermarket Type1,661.8052,FD,16,B,15.169484536082475
89,20.85,Low Fat,-3.228320132272832,117.2808,MED,Medium,Tier 1,Supermarket Type1,1523.3504,FD,14,B,5.6249784172661865
90,20.75,Low Fat,-3.208401052350685,122.173,LOW,Small,Tier 3,Grocery Store,369.519,FD,15,B,5.887855421686747
91,8.895,Low Fat,-2.251187749519789,39.9138,MED,Medium,Tier 1,Supermarket Type1,690.4346,DR,14,A,4.487217537942665
92,19.6,Low Fat,-3.38227175646698,55.1614,MED,Small,Tier 2,Supermarket Type1,1381.535,DR,11,A,2.814357142857143
93,19.7,Low Fat,-2.9334590913602523,57.893,MED,Small,Tier 2,Supermarket Type1,622.523,FD,9,A,2.9387309644670054
94,9.8,Low Fat,-3.7140452326296507,114.5492,MED,Small,Tier 2,Supermarket Type1,1274.3412,NC,9,B,11.68869387755102
95,7.93,Low Fat,-4.6341258851328755,120.0414,LOW,Small,Tier 1,Grocery Store,487.3656,FD,28,B,15.137629255989912
96,12.15,Low Fat,-2.0296327574324127,246.046,MED,Medium,Tier 1,Supermarket Type1,1231.73,FD,14,D,20.250699588477364
97,8.75,Regular,-2.595439317996435,187.4556,MED,Small,Tier 2,Supermarket Type1,3755.112,FD,9,C,21.423497142857144
98,12.15,Low Fat,-3.5592640841069216,149.9708,HIGH,Medium,Tier 3,Supermarket Type3,4363.6532,NC,28,C,12.343275720164609
99,8.75,Regular,-2.595250213566961,187.8556,MED,Small,Tier 1,Supermarket Type1,1314.2892,FD,16,C,21.46921142857143
100,13.3,Low Fat,-2.7536478936364226,151.0708,MED,Small,Tier 2,Supermarket Type1,1805.6496,FD,11,C,11.358706766917292
101,20.6,Regular,-3.083518590732221,178.5344,HIGH,Medium,Tier 3,Supermarket Type3,2854.9504,FD,28,C,8.66671844660194
102,8.31,Regular,-2.1553966821836825,179.1028,MED,Medium,Tier 1,Supermarket Type1,3896.2616,FD,14,C,21.552683513838748
103,16.75,Regular,-3.6955896773895254,38.7822,MED,High,Tier 3,Supermarket Type1,667.7974,DR,26,A,2.315355223880597
104,19.75,Low Fat,-3.3805742381403245,212.0902,MED,Medium,Tier 3,Supermarket Type2,3185.853,FD,4,D,10.73874430379747
105,17.1,Regular,-3.062521859771828,141.1838,MED,High,Tier 3,Supermarket Type1,2247.7408,FD,26,C,8.256362573099414
106,10.5,Regular,-2.1492058363514412,163.121,MED,High,Tier 3,Supermarket Type1,1794.331,FD,26,C,15.535333333333334
107,6.635,Regular,-5.466926174318595,121.3098,MED,Small,Tier 2,Supermarket Type1,2530.7058,FD,11,B,18.283315749811607
108,9.395,Low Fat,-1.276636422625162,225.372,LOW,Small,Tier 1,Grocery Store,679.116,DR,28,D,23.988504523682813
109,14.15,Low Fat,-3.326633517014639,41.4138,MED,High,Tier 3,Supermarket Type1,812.276,DR,26,A,2.9267703180212017
110,13.3,Low Fat,-2.528153256305752,232.53,MED,Small,Tier 1,Supermarket Type1,699.09,FD,16,D,17.48345864661654
111,8.89,Low Fat,-5.202011137510944,102.4016,MED,Small,Tier 2,Supermarket Type1,2732.4432,FD,6,B,11.518740157480314
112,6.69,Regular,-2.739148654097914,176.937,LOW,Small,Tier 1,Grocery Store,176.437,FD,28,C,26.44798206278027
113,6.195,Low Fat,-2.636144458147552,121.7098,HIGH,Medium,Tier 3,Supermarket Type3,4097.3332,FD,28,B,19.64645682001614
114,9.1,Regular,-2.589793067847855,173.2054,MED,Small,Tier 2,Supermarket Type1,3151.8972,FD,11,C,19.03356043956044
115,7.5,Low Fat,-3.4210630641462716,239.0906,MED,Medium,Tier 1,Supermarket Type1,5942.265,FD,14,D,31.878746666666665
116,16.85,Regular,-1.8278423734967393,192.4478,MED,Small,Tier 2,Supermarket Type1,4843.695,FD,6,C,11.421234421364984
117,7.485,Low Fat,-2.6720464356271587,109.0228,MED,Small,Tier 2,Supermarket Type1,2542.0244,FD,9,B,14.565504342017368
118,11.6,Low Fat,-3.189863166881915,140.3154,MED,Small,Tier 2,Supermarket Type1,2552.6772,DR,6,C,12.096155172413795
119,11.65,Low Fat,-3.2168480571794484,227.0694,MED,Medium,Tier 3,Supermarket Type2,1141.847,FD,4,D,19.490935622317597
120,13.0,Low Fat,-3.3436649144555575,47.5034,MED,Small,Tier 2,Supermarket Type1,680.4476,NC,6,A,3.6541076923076923
121,12.65,Low Fat,-2.76433730699414,159.0578,MED,Small,Tier 2,Supermarket Type1,2085.9514,DR,11,C,12.573739130434781
122,20.25,Regular,-1.7606167899434182,92.512,LOW,Small,Tier 3,Grocery Store,186.424,FD,15,B,4.568493827160494
123,8.6,Regular,-3.2139397274664567,190.153,MED,Small,Tier 2,Supermarket Type1,3036.048,FD,9,C,22.11081395348837
124,12.6,Low Fat,-3.0147517220147937,62.7194,MED,Small,Tier 2,Supermarket Type1,866.8716,FD,6,A,4.977730158730159
125,17.7,Low Fat,-4.4558057993522455,95.041,MED,Small,Tier 2,Supermarket Type1,868.869,FD,9,B,5.36954802259887
126,14.15,Low Fat,-1.6955008575093196,82.4276,MED,Small,Tier 1,Supermarket Type1,1137.1864,DR,16,B,5.825272084805653
127,19.25,Low Fat,-2.2793616664462135,52.7956,MED,Small,Tier 2,Supermarket Type1,928.1252,FD,6,A,2.7426285714285714
128,8.88,Low Fat,-2.4451977442815385,151.7682,MED,High,Tier 3,Supermarket Type1,762.341,DR,26,C,17.091013513513513
129,20.5,Low Fat,-3.4162557824191175,40.2822,MED,Small,Tier 2,Supermarket Type1,707.0796,NC,11,A,1.9649853658536587
130,12.0,Low Fat,-3.3870012354688477,180.5976,HIGH,Medium,Tier 3,Supermarket Type3,7968.2944,FD,28,C,15.0498
131,13.5,Low Fat,-2.621838743963173,160.292,MED,Small,Tier 1,Supermarket Type1,1438.128,NC,16,C,11.873481481481482
132,12.15,Low Fat,-1.9355940920188126,224.4404,HIGH,Medium,Tier 3,Supermarket Type3,6976.2524,NC,28,D,18.472460905349795
133,8.89,Low Fat,-4.692558070211311,101.7016,LOW,Small,Tier 3,Grocery Store,101.2016,FD,15,B,11.44
134,7.855,Low Fat,-4.482329915284699,188.5188,MED,Medium,Tier 3,Supermarket Type2,952.094,FD,4,C,23.999847231063015
135,7.235,Low Fat,-2.565826578107086,116.0492,MED,Small,Tier 1,Supermarket Type1,1969.4364,NC,16,B,16.03997235659986
136,18.25,Low Fat,-2.814129708505999,165.4526,HIGH,Medium,Tier 3,Supermarket Type3,5262.4832,FD,28,C,9.065895890410959
137,6.92,Low Fat,-3.256264605035838,60.5852,MED,Small,Tier 2,Supermarket Type1,1314.2892,FD,11,A,8.755086705202313
138,9.3,Low Fat,-3.1416930259147473,90.8172,MED,Small,Tier 2,Supermarket Type1,535.3032,FD,6,B,9.765290322580645
139,18.5,Low Fat,-2.867929118500619,132.1284,LOW,Small,Tier 3,Grocery Store,263.6568,NC,15,B,7.142075675675676
140,8.02,Low Fat,-3.918710064050603,154.5972,MED,Small,Tier 2,Supermarket Type1,1402.1748,NC,9,C,19.27645885286783
141,9.195,Low Fat,-3.029667267168158,105.1622,MED,Small,Tier 2,Supermarket Type1,1693.7952,NC,6,B,11.43688961392061
142,12.8,Low Fat,-2.3944607724525935,105.5938,MED,Small,Tier 2,Supermarket Type1,2143.876,NC,11,B,8.249515624999999
143,16.6,Low Fat,-3.589139970900166,177.6344,MED,Medium,Tier 1,Supermarket Type1,2676.516,NC,14,C,10.700867469879517
144,14.0,Regular,-2.0529345136980384,53.064,MED,Small,Tier 2,Supermarket Type1,905.488,FD,9,A,3.7902857142857145
145,18.6,Low Fat,-3.2351081846610983,246.3802,MED,Medium,Tier 1,Supermarket Type1,7370.406,FD,14,D,13.246247311827956
146,16.0,Low Fat,-2.7995649466880494,226.8404,MED,Small,Tier 2,Supermarket Type1,6301.1312,FD,9,D,14.177525
147,17.6,Low Fat,-2.4971836324776255,160.692,MED,Small,Tier 2,Supermarket Type1,1597.92,NC,9,C,9.130227272727272
148,21.25,Low Fat,-1.8620727184587405,178.237,MED,Small,Tier 2,Supermarket Type1,529.311,FD,9,C,8.387623529411764
149,7.235,Low Fat,-2.5660156907928955,117.5492,MED,Small,Tier 2,Supermarket Type1,1969.4364,NC,9,B,16.24729785763649
150,14.6,Low Fat,-1.8877032287015962,50.3692,MED,Small,Tier 2,Supermarket Type1,1034.6532,DR,6,A,3.449945205479452
151,13.85,Regular,-3.6495827438485087,161.521,MED,Medium,Tier 3,Supermarket Type2,1794.331,FD,4,C,11.66216606498195
152,13.65,Regular,-2.614430808965009,197.6426,MED,Medium,Tier 3,Supermarket Type2,2768.3964,FD,4,C,14.479311355311355
153,9.5,Low Fat,-3.177650367749927,31.29,HIGH,Medium,Tier 3,Supermarket Type3,898.83,DR,28,A,3.2936842105263158
154,7.365,Low Fat,-3.1568345129136457,226.172,MED,Small,Tier 1,Supermarket Type1,3169.208,FD,16,D,30.709029192124913
155,18.35,Low Fat,-4.26291782934972,223.5746,MED,Medium,Tier 3,Supermarket Type2,3589.9936,NC,4,D,12.183901907356947
156,5.465,Regular,-3.3617393161846603,132.5626,MED,Medium,Tier 3,Supermarket Type2,262.3252,FD,4,B,24.25665141811528
157,18.6,Low Fat,-1.8778509378268173,99.8358,MED,Small,Tier 2,Supermarket Type1,1910.1802,FD,6,B,5.367516129032258
158,13.85,Low Fat,-3.474759727312479,140.9154,MED,Small,Tier 2,Supermarket Type1,1701.7848,DR,6,C,10.174397111913358
159,14.0,Regular,-2.8071507512929785,154.5656,MED,High,Tier 3,Supermarket Type1,2471.4496,FD,26,C,11.0404
160,14.0,Regular,-3.1719242546391158,54.764,MED,High,Tier 3,Supermarket Type1,1331.6,FD,26,A,3.911714285714286
161,21.35,Low Fat,-2.559189375056312,97.0094,HIGH,Medium,Tier 3,Supermarket Type3,1808.9786,FD,28,B,4.543765807962529
162,5.905,Low Fat,-3.082637234387839,222.5456,MED,Medium,Tier 3,Supermarket Type2,3315.684,FD,4,D,37.68765453005927
163,7.27,Low Fat,-2.6439782716140945,114.2518,MED,Small,Tier 1,Supermarket Type1,2618.5914,DR,16,B,15.715515818431914
164,6.155,Regular,-2.35746511727699,214.556,MED,Small,Tier 1,Supermarket Type1,2769.728,FD,16,D,34.858813972380176
165,19.5,Regular,-2.55607396652556,233.4958,MED,Small,Tier 2,Supermarket Type1,5375.0034,DR,6,D,11.97414358974359
166,15.2,Low Fat,-3.847759037601886,216.8824,MED,Small,Tier 2,Supermarket Type1,2838.9712,FD,6,D,14.268578947368422
167,12.15,Regular,-3.1585937558339188,125.0046,MED,Medium,Tier 3,Supermarket Type2,1743.0644,FD,4,B,10.288444444444444
168,14.6,Low Fat,-3.666002107634798,198.8084,HIGH,Medium,Tier 3,Supermarket Type3,5555.4352,NC,28,C,13.617013698630137
169,12.6,Low Fat,-3.016326894394277,61.9194,MED,Medium,Tier 3,Supermarket Type2,619.194,FD,4,A,4.914238095238096
170,14.5,Low Fat,-3.9387937658727306,164.821,MED,Small,Tier 2,Supermarket Type1,2120.573,NC,9,C,11.366965517241379
171,16.6,Low Fat,-2.0962308811712105,173.0738,MED,Small,Tier 2,Supermarket Type1,3823.0236,FD,6,C,10.426132530120482
172,11.8,Regular,-2.8581675781415066,151.4366,MED,High,Tier 3,Supermarket Type1,1360.2294,FD,26,C,12.833610169491525
173,13.1,Regular,-3.1200355876001744,178.8318,MED,High,Tier 3,Supermarket Type1,3969.4996,FD,26,C,13.65128244274809
174,17.7,Low Fat,-1.2314625350397068,115.1834,LOW,Small,Tier 3,Grocery Store,345.5502,FD,15,B,6.507536723163843
175,17.85,Low Fat,-2.6580090625847155,196.5794,LOW,Small,Tier 3,Grocery Store,585.2382,FD,15,C,11.012851540616245
176,12.3,Regular,-2.7372211923021785,92.6804,MED,Small,Tier 2,Supermarket Type1,1010.6844,FD,11,B,7.5349918699186995
177,11.8,Low Fat,-2.3196049017240394,81.4618,LOW,Small,Tier 3,Grocery Store,161.1236,NC,15,B,6.903542372881355
178,9.395,Regular,-1.6554103194625305,42.1112,LOW,Small,Tier 1,Grocery Store,42.6112,DR,28,A,4.482299095263438
179,11.1,Low Fat,-1.7340206921647598,157.4604,MED,Small,Tier 2,Supermarket Type1,3010.7476,FD,11,C,14.185621621621621
180,14.0,Regular,-2.811172540013989,153.0656,HIGH,Medium,Tier 3,Supermarket Type3,6024.1584,FD,28,C,10.933257142857142
181,11.3,Low Fat,-4.920613802052041,198.1426,MED,Small,Tier 2,Supermarket Type1,988.713,FD,11,C,17.534743362831858
182,10.0,Low Fat,-2.05199399959008,117.944,LOW,Small,Tier 1,Grocery Store,239.688,NC,28,B,11.7944
183,5.75,Regular,-2.5888327813334246,112.8176,MED,High,Tier 3,Supermarket Type1,1374.2112,FD,26,B,19.620452173913044
184,6.215,Regular,-3.008181322404435,226.8062,HIGH,Medium,Tier 3,Supermarket Type3,4739.8302,FD,28,D,36.493354786806115
185,11.35,Regular,-3.0974152042690575,100.0016,MED,Medium,Tier 3,Supermarket Type2,1012.016,FD,4,B,8.810713656387666
186,11.1,Regular,-2.362826194613754,165.7526,LOW,Small,Tier 1,Grocery Store,657.8104,FD,28,C,14.932666666666668
187,14.0,Low Fat,-3.5436427171183476,130.431,MED,Medium,Tier 1,Supermarket Type1,778.986,NC,14,B,9.316500000000001
188,19.75,Regular,-4.014076716817042,179.766,MED,Small,Tier 2,Supermarket Type1,2336.958,FD,11,C,9.102075949367087
189,6.525,Low Fat,-2.4031118213595226,85.0882,MED,Medium,Tier 1,Supermarket Type1,2233.0932,NC,14,B,13.040337164750957
190,10.3,Low Fat,-1.9214146446699756,103.9648,MED,Medium,Tier 1,Supermarket Type1,1661.8368,FD,14,B,10.09366990291262
191,5.78,Regular,-2.6001241731870652,264.7568,MED,Medium,Tier 1,Supermarket Type1,4745.8224,FD,14,D,45.80567474048443
192,11.85,Regular,-2.9920047095609537,164.1526,MED,Small,Tier 2,Supermarket Type1,3124.5994,FD,11,C,13.852540084388187
193,16.35,Low Fat,-3.8809287806096298,50.1324,MED,Medium,Tier 3,Supermarket Type2,467.3916,FD,4,A,3.066201834862385
194,17.6,Low Fat,-4.159774360429104,182.5976,HIGH,Medium,Tier 3,Supermarket Type3,5070.7328,NC,28,C,10.374863636363635
195,10.5,Low Fat,-3.184584428358559,37.6164,MED,Small,Tier 1,Supermarket Type1,540.6296,FD,16,A,3.5825142857142858
196,19.0,Regular,-2.3298213656965423,48.0718,MED,Small,Tier 1,Supermarket Type1,992.7078,FD,16,A,2.5300947368421056
197,14.6,Low Fat,-2.820385047630618,238.8538,MED,Medium,Tier 1,Supermarket Type1,6008.845,NC,14,D,16.359849315068494
198,15.6,Regular,-2.316038667847025,62.9194,HIGH,Medium,Tier 3,Supermarket Type3,2105.2596,FD,28,A,4.0332948717948724
199,4.615,Regular,-2.289287390647209,232.63,HIGH,Medium,Tier 3,Supermarket Type3,5359.69,FD,28,D,50.407367280606714
200,18.75,Low Fat,-2.9536990576585906,104.628,MED,Small,Tier 2,Supermarket Type1,745.696,NC,11,B,5.58016
201,5.26,Regular,-3.1757088938617954,161.8868,MED,Small,Tier 2,Supermarket Type1,3275.736,FD,9,C,30.776958174904944
202,18.25,Low Fat,-2.9124176444580394,140.2154,MED,Small,Tier 2,Supermarket Type1,1701.7848,FD,11,C,7.683035616438356
203,10.3,Low Fat,-2.546409986561366,177.937,HIGH,Medium,Tier 3,Supermarket Type3,6704.606,FD,28,C,17.275436893203885
