,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_ID,Outlet_Age,price/weight,Outlet_Identifier_HIGH,Outlet_Identifier_LOW,Outlet_Identifier_MED,Item_MRP_Group_A,Item_MRP_Group_B,Item_MRP_Group_C,Item_MRP_Group_D
21,8.315,1,-3.341045633986017,144.5444,1,3,3,4064.0432,2,28,17.383571858087794,1,0,0,0,0,1,0
22,14.6,0,-3.66133689672087,196.5084,0,2,1,1587.2672,1,9,13.459479452054795,0,0,1,0,0,1,0
23,15.5,0,-2.854979552596853,107.6938,0,1,0,214.3876,2,28,6.9479870967741935,0,1,0,0,1,0,0
24,13.85,1,-3.653648033772376,165.021,0,1,1,4078.025,2,16,11.914873646209386,0,0,1,0,0,1,0
25,13.0,0,-2.303714700760734,45.906,0,2,1,838.908,1,6,3.531230769230769,0,0,1,1,0,0,0
26,7.645,1,-2.7076487267038427,42.3112,0,2,1,1065.28,2,9,5.534493132766515,0,0,1,1,0,0,0
27,11.65,0,-3.9447460104834935,39.1164,2,3,1,308.9312,0,26,3.3576309012875534,0,0,1,1,0,0,0
28,5.925,1,-1.8234573776066596,45.5086,0,3,0,178.4344,2,15,7.680776371308017,0,1,0,1,0,0,0
29,14.5,1,-2.6280133257533738,43.6454,0,1,0,125.8362,2,28,3.010027586206897,0,1,0,1,0,0,0
30,19.25,0,-1.7699086409283618,55.7956,0,3,0,163.7868,2,15,2.8984727272727273,0,1,0,1,0,0,0
31,18.6,0,-2.5154148646591183,96.4436,1,3,2,2741.7644,1,4,5.185139784946236,0,0,1,0,1,0,0
32,18.7,0,-2.4584758979055916,256.6672,1,3,2,3068.0064,2,4,13.72551871657754,0,0,1,0,0,0,1
33,17.85,0,-1.9568919701216456,93.1436,0,2,1,2174.5028,2,11,5.218128851540616,0,0,1,0,1,0,0
34,17.5,0,-2.3237675760534655,174.8738,0,1,1,2085.2856,0,16,9.992788571428571,0,0,1,0,0,1,0
35,10.0,0,-2.415853045745308,146.7102,1,1,1,3791.0652,1,14,14.671019999999999,0,0,1,0,0,1,0
36,20.2,1,-2.8215804651248373,128.0678,1,3,3,2797.6916,2,28,6.339990099009902,1,0,0,0,1,0,0
37,8.85,1,-2.1792716626452857,122.5388,1,3,2,1609.9044,0,4,13.84619209039548,0,0,1,0,1,0,0
38,6.385000000000001,1,-2.094665211939171,36.9874,1,3,3,388.1614,2,28,5.792858261550508,1,0,0,1,0,0,0
39,15.25,0,-3.6313295213719607,87.6198,1,3,3,2180.495,2,28,5.745560655737704,1,0,0,0,1,0,0
40,13.35,0,-2.277780252555113,230.6352,0,1,1,3435.528,2,16,17.276044943820224,0,0,1,0,0,0,1
41,9.8,0,-3.6186659412462197,126.002,2,3,1,2150.534,2,26,12.857346938775509,0,0,1,0,1,0,0
42,13.6,0,-2.1386112643754553,192.9136,1,1,1,2527.3768,2,14,14.184823529411766,0,0,1,0,0,1,0
43,21.35,0,-2.6721595794384823,259.9278,1,3,2,6768.5228,2,4,12.174604215456673,0,0,1,0,0,0,1
44,12.15,1,-3.1634915686377654,126.5046,2,3,1,373.5138,2,26,10.411901234567901,0,0,1,0,1,0,0
45,6.42,0,-2.413528653773328,178.1002,0,3,0,358.2004,2,15,27.74146417445483,0,1,0,0,0,1,0
46,19.6,0,-3.8584076915157786,153.3024,0,2,1,2428.8384,1,11,7.821551020408163,0,0,1,0,0,1,0
47,10.0,0,-3.6543011541507098,265.2226,0,2,1,5815.0972,2,11,26.52226,0,0,1,0,0,0,1
48,15.85,1,-2.1067492584764773,60.622,0,1,1,2576.646,2,16,3.8247318611987384,0,0,1,1,0,0,0
49,10.195,1,-1.3649443199216806,196.8794,0,1,0,780.3176,2,28,19.311368317802845,0,1,0,0,0,1,0
50,7.39,0,-2.691492361853274,143.8812,0,1,1,3134.5864,1,16,19.469715832205686,0,0,1,0,0,1,0
51,10.195,0,-1.833808134551401,141.5154,2,3,1,850.8924,2,26,13.880863168219715,0,0,1,0,0,1,0
52,9.895,1,-3.550965060885366,117.0492,2,3,1,810.9444,2,26,11.82912582112178,0,0,1,0,1,0,0
53,10.895,0,-2.732728505919938,196.3794,0,2,1,3121.2704,2,6,18.02472693896283,0,0,1,0,0,1,0
54,12.15,0,-3.5487692941127036,151.4708,0,2,1,4815.0656,1,6,12.466732510288065,0,0,1,0,0,1,0
55,7.905,0,-4.599873736970009,249.0408,1,3,2,6258.52,2,4,31.50421252371916,0,0,1,0,0,0,1
56,9.195,0,-3.033281753595619,106.1622,0,2,1,2117.244,1,11,11.545644371941272,0,0,1,0,1,0,0
57,8.365,0,-2.631669925800138,38.0506,1,1,1,796.9626,0,14,4.548786610878661,0,0,1,1,0,0,0
58,15.1,0,-1.7516854433265976,194.511,0,1,1,4910.275,2,16,12.881523178807948,0,0,1,0,0,1,0
59,5.94,0,-2.7955351574855882,180.0344,0,1,0,892.172,2,28,30.308821548821548,0,1,0,0,0,1,0
60,10.0,0,-3.7615014686958177,246.9144,1,3,2,3185.1872,2,4,24.69144,0,0,1,0,0,0,1
61,7.97,1,-3.2170991291272277,87.3514,0,2,1,1062.6168,2,11,10.960025094102885,0,0,1,0,1,0,0
62,6.215,0,-4.415370493613208,38.2848,1,3,3,484.7024,2,28,6.1600643604183425,1,0,0,1,0,0,0
63,15.5,1,-1.8952152001407176,51.0692,0,1,0,147.8076,2,28,3.294787096774194,0,1,0,1,0,0,0
64,17.5,0,-3.64906203441004,255.8356,1,3,3,2543.356,2,28,14.619177142857144,1,0,0,0,0,0,1
65,17.7,0,-1.634405904687971,185.4266,0,3,0,184.4266,2,15,10.476079096045199,0,1,0,0,0,1,0
66,19.35,0,-3.4087594521807474,172.5738,0,2,1,4865.6664,2,9,8.918542635658914,0,0,1,0,0,1,0
67,13.65,1,-2.538985441125209,186.024,0,2,1,1118.544,2,11,13.628131868131868,0,0,1,0,0,1,0
68,17.6,0,-3.177236020845316,164.8526,0,2,1,2302.3364,0,11,9.366624999999999,0,0,1,0,0,1,0
69,8.645,0,-1.941959462305374,95.841,0,1,1,2027.361,1,16,11.086292654713708,0,0,1,0,1,0,0
70,15.6,1,-2.250979163481949,170.1764,0,1,1,3435.528,2,16,10.90874358974359,0,0,1,0,0,1,0
71,15.85,1,-2.1075817823158296,59.222,2,3,1,599.22,2,26,3.7364037854889594,0,0,1,1,0,0,0
72,18.25,0,-2.864905902871379,164.7526,0,2,1,4604.6728,2,11,9.027539726027397,0,0,1,0,0,1,0
73,7.855,0,-4.480754793117746,189.6188,0,2,1,2285.0256,2,6,24.13988542329726,0,0,1,0,0,1,0
74,7.825,0,-1.6800902958638873,254.3698,1,1,1,5580.7356,1,14,32.50732268370607,0,0,1,0,0,0,1
75,8.39,1,-3.721168747555993,114.0176,0,1,1,2290.352,2,16,13.589702026221692,0,0,1,0,1,0,0
76,12.85,0,-3.4042776407931465,172.3422,1,1,1,1207.0954,2,14,13.411844357976653,0,0,1,0,0,1,0
77,13.35,0,-2.174012967230294,89.9804,0,1,0,643.1628,2,28,6.740104868913858,0,1,0,0,1,0,0
78,19.0,0,-2.1842998989958247,104.9622,0,2,1,1587.933,2,6,5.524326315789473,0,0,1,0,1,0,0
79,5.905,0,-3.1368034798412174,222.5456,0,2,1,5305.0944,2,11,37.68765453005927,0,0,1,0,0,0,1
80,7.76,0,-2.8242653995828704,101.87,0,1,1,1697.79,2,16,13.12757731958763,0,0,1,0,1,0,0
81,11.8,1,-4.262498846428346,180.3344,0,1,1,1427.4752,2,16,15.28257627118644,0,0,1,0,0,1,0
82,16.75,0,-3.0959738246069337,187.9556,1,3,2,4693.89,2,4,11.221229850746269,0,0,1,0,0,1,0
83,18.85,0,-1.2261578868159935,194.6136,0,1,0,583.2408,1,28,10.324328912466843,0,1,0,0,0,1,0
84,12.6,1,-3.4615193967686193,171.3764,1,3,3,3091.9752,2,28,13.601301587301586,1,0,0,0,0,1,0
85,15.5,1,-2.068312816297393,177.0028,0,2,1,2479.4392,2,6,11.419535483870968,0,0,1,0,0,1,0
86,6.055,0,-3.672852652165199,160.992,0,2,1,2716.464,2,9,26.58827415359207,0,0,1,0,0,1,0
87,20.2,1,-3.2427158279084165,155.963,1,3,3,3285.723,2,28,7.720940594059406,1,0,0,0,0,1,0
88,6.305,1,-2.0946301955014843,95.6436,0,1,1,661.8052,2,16,15.169484536082475,0,0,1,0,1,0,0
89,20.85,0,-3.228320132272832,117.2808,1,1,1,1523.3504,2,14,5.6249784172661865,0,0,1,0,1,0,0
90,20.75,0,-3.208401052350685,122.173,0,3,0,369.519,2,15,5.887855421686747,0,1,0,0,1,0,0
91,8.895,0,-2.251187749519789,39.9138,1,1,1,690.4346,0,14,4.487217537942665,0,0,1,1,0,0,0
92,19.6,0,-3.38227175646698,55.1614,0,2,1,1381.535,0,11,2.814357142857143,0,0,1,1,0,0,0
93,19.7,0,-2.9334590913602523,57.893,0,2,1,622.523,2,9,2.9387309644670054,0,0,1,1,0,0,0
94,9.8,0,-3.7140452326296507,114.5492,0,2,1,1274.3412,1,9,11.68869387755102,0,0,1,0,1,0,0
95,7.93,0,-4.6341258851328755,120.0414,0,1,0,487.3656,2,28,15.137629255989912,0,1,0,0,1,0,0
96,12.15,0,-2.0296327574324127,246.046,1,1,1,1231.73,2,14,20.250699588477364,0,0,1,0,0,0,1
97,8.75,1,-2.595439317996435,187.4556,0,2,1,3755.112,2,9,21.423497142857144,0,0,1,0,0,1,0
98,12.15,0,-3.5592640841069216,149.9708,1,3,3,4363.6532,1,28,12.343275720164609,1,0,0,0,0,1,0
99,8.75,1,-2.595250213566961,187.8556,0,1,1,1314.2892,2,16,21.46921142857143,0,0,1,0,0,1,0
100,13.3,0,-2.7536478936364226,151.0708,0,2,1,1805.6496,2,11,11.358706766917292,0,0,1,0,0,1,0
101,20.6,1,-3.083518590732221,178.5344,1,3,3,2854.9504,2,28,8.66671844660194,1,0,0,0,0,1,0
102,8.31,1,-2.1553966821836825,179.1028,1,1,1,3896.2616,2,14,21.552683513838748,0,0,1,0,0,1,0
103,16.75,1,-3.6955896773895254,38.7822,2,3,1,667.7974,0,26,2.315355223880597,0,0,1,1,0,0,0
104,19.75,0,-3.3805742381403245,212.0902,1,3,2,3185.853,2,4,10.73874430379747,0,0,1,0,0,0,1
105,17.1,1,-3.062521859771828,141.1838,2,3,1,2247.7408,2,26,8.256362573099414,0,0,1,0,0,1,0
106,10.5,1,-2.1492058363514412,163.121,2,3,1,1794.331,2,26,15.535333333333334,0,0,1,0,0,1,0
107,6.635,1,-5.466926174318595,121.3098,0,2,1,2530.7058,2,11,18.283315749811607,0,0,1,0,1,0,0
108,9.395,0,-1.276636422625162,225.372,0,1,0,679.116,0,28,23.988504523682813,0,1,0,0,0,0,1
109,14.15,0,-3.326633517014639,41.4138,2,3,1,812.276,0,26,2.9267703180212017,0,0,1,1,0,0,0
110,13.3,0,-2.528153256305752,232.53,0,1,1,699.09,2,16,17.48345864661654,0,0,1,0,0,0,1
111,8.89,0,-5.202011137510944,102.4016,0,2,1,2732.4432,2,6,11.518740157480314,0,0,1,0,1,0,0
112,6.69,1,-2.739148654097914,176.937,0,1,0,176.437,2,28,26.44798206278027,0,1,0,0,0,1,0
113,6.195,0,-2.636144458147552,121.7098,1,3,3,4097.3332,2,28,19.64645682001614,1,0,0,0,1,0,0
114,9.1,1,-2.589793067847855,173.2054,0,2,1,3151.8972,2,11,19.03356043956044,0,0,1,0,0,1,0
115,7.5,0,-3.4210630641462716,239.0906,1,1,1,5942.265,2,14,31.878746666666665,0,0,1,0,0,0,1
116,16.85,1,-1.8278423734967393,192.4478,0,2,1,4843.695,2,6,11.421234421364984,0,0,1,0,0,1,0
117,7.485,0,-2.6720464356271587,109.0228,0,2,1,2542.0244,2,9,14.565504342017368,0,0,1,0,1,0,0
118,11.6,0,-3.189863166881915,140.3154,0,2,1,2552.6772,0,6,12.096155172413795,0,0,1,0,0,1,0
119,11.65,0,-3.2168480571794484,227.0694,1,3,2,1141.847,2,4,19.490935622317597,0,0,1,0,0,0,1
120,13.0,0,-3.3436649144555575,47.5034,0,2,1,680.4476,1,6,3.6541076923076923,0,0,1,1,0,0,0
121,12.65,0,-2.76433730699414,159.0578,0,2,1,2085.9514,0,11,12.573739130434781,0,0,1,0,0,1,0
122,20.25,1,-1.7606167899434182,92.512,0,3,0,186.424,2,15,4.568493827160494,0,1,0,0,1,0,0
123,8.6,1,-3.2139397274664567,190.153,0,2,1,3036.048,2,9,22.11081395348837,0,0,1,0,0,1,0
124,12.6,0,-3.0147517220147937,62.7194,0,2,1,866.8716,2,6,4.977730158730159,0,0,1,1,0,0,0
125,17.7,0,-4.4558057993522455,95.041,0,2,1,868.869,2,9,5.36954802259887,0,0,1,0,1,0,0
126,14.15,0,-1.6955008575093196,82.4276,0,1,1,1137.1864,0,16,5.825272084805653,0,0,1,0,1,0,0
127,19.25,0,-2.2793616664462135,52.7956,0,2,1,928.1252,2,6,2.7426285714285714,0,0,1,1,0,0,0
128,8.88,0,-2.4451977442815385,151.7682,2,3,1,762.341,0,26,17.091013513513513,0,0,1,0,0,1,0
129,20.5,0,-3.4162557824191175,40.2822,0,2,1,707.0796,1,11,1.9649853658536587,0,0,1,1,0,0,0
130,12.0,0,-3.3870012354688477,180.5976,1,3,3,7968.2944,2,28,15.0498,1,0,0,0,0,1,0
131,13.5,0,-2.621838743963173,160.292,0,1,1,1438.128,1,16,11.873481481481482,0,0,1,0,0,1,0
132,12.15,0,-1.9355940920188126,224.4404,1,3,3,6976.2524,1,28,18.472460905349795,1,0,0,0,0,0,1
133,8.89,0,-4.692558070211311,101.7016,0,3,0,101.2016,2,15,11.44,0,1,0,0,1,0,0
134,7.855,0,-4.482329915284699,188.5188,1,3,2,952.094,2,4,23.999847231063015,0,0,1,0,0,1,0
135,7.235,0,-2.565826578107086,116.0492,0,1,1,1969.4364,1,16,16.03997235659986,0,0,1,0,1,0,0
136,18.25,0,-2.814129708505999,165.4526,1,3,3,5262.4832,2,28,9.065895890410959,1,0,0,0,0,1,0
137,6.92,0,-3.256264605035838,60.5852,0,2,1,1314.2892,2,11,8.755086705202313,0,0,1,1,0,0,0
138,9.3,0,-3.1416930259147473,90.8172,0,2,1,535.3032,2,6,9.765290322580645,0,0,1,0,1,0,0
139,18.5,0,-2.867929118500619,132.1284,0,3,0,263.6568,1,15,7.142075675675676,0,1,0,0,1,0,0
140,8.02,0,-3.918710064050603,154.5972,0,2,1,1402.1748,1,9,19.27645885286783,0,0,1,0,0,1,0
141,9.195,0,-3.029667267168158,105.1622,0,2,1,1693.7952,1,6,11.43688961392061,0,0,1,0,1,0,0
142,12.8,0,-2.3944607724525935,105.5938,0,2,1,2143.876,1,11,8.249515624999999,0,0,1,0,1,0,0
143,16.6,0,-3.589139970900166,177.6344,1,1,1,2676.516,1,14,10.700867469879517,0,0,1,0,0,1,0
144,14.0,1,-2.0529345136980384,53.064,0,2,1,905.488,2,9,3.7902857142857145,0,0,1,1,0,0,0
145,18.6,0,-3.2351081846610983,246.3802,1,1,1,7370.406,2,14,13.246247311827956,0,0,1,0,0,0,1
146,16.0,0,-2.7995649466880494,226.8404,0,2,1,6301.1312,2,9,14.177525,0,0,1,0,0,0,1
147,17.6,0,-2.4971836324776255,160.692,0,2,1,1597.92,1,9,9.130227272727272,0,0,1,0,0,1,0
148,21.25,0,-1.8620727184587405,178.237,0,2,1,529.311,2,9,8.387623529411764,0,0,1,0,0,1,0
149,7.235,0,-2.5660156907928955,117.5492,0,2,1,1969.4364,1,9,16.24729785763649,0,0,1,0,1,0,0
150,14.6,0,-1.8877032287015962,50.3692,0,2,1,1034.6532,0,6,3.449945205479452,0,0,1,1,0,0,0
151,13.85,1,-3.6495827438485087,161.521,1,3,2,1794.331,2,4,11.66216606498195,0,0,1,0,0,1,0
152,13.65,1,-2.614430808965009,197.6426,1,3,2,2768.3964,2,4,14.479311355311355,0,0,1,0,0,1,0
153,9.5,0,-3.177650367749927,31.29,1,3,3,898.83,0,28,3.2936842105263158,1,0,0,1,0,0,0
154,7.365,0,-3.1568345129136457,226.172,0,1,1,3169.208,2,16,30.709029192124913,0,0,1,0,0,0,1
155,18.35,0,-4.26291782934972,223.5746,1,3,2,3589.9936,1,4,12.183901907356947,0,0,1,0,0,0,1
156,5.465,1,-3.3617393161846603,132.5626,1,3,2,262.3252,2,4,24.25665141811528,0,0,1,0,1,0,0
157,18.6,0,-1.8778509378268173,99.8358,0,2,1,1910.1802,2,6,5.367516129032258,0,0,1,0,1,0,0
158,13.85,0,-3.474759727312479,140.9154,0,2,1,1701.7848,0,6,10.174397111913358,0,0,1,0,0,1,0
159,14.0,1,-2.8071507512929785,154.5656,2,3,1,2471.4496,2,26,11.0404,0,0,1,0,0,1,0
160,14.0,1,-3.1719242546391158,54.764,2,3,1,1331.6,2,26,3.911714285714286,0,0,1,1,0,0,0
161,21.35,0,-2.559189375056312,97.0094,1,3,3,1808.9786,2,28,4.543765807962529,1,0,0,0,1,0,0
162,5.905,0,-3.082637234387839,222.5456,1,3,2,3315.684,2,4,37.68765453005927,0,0,1,0,0,0,1
163,7.27,0,-2.6439782716140945,114.2518,0,1,1,2618.5914,0,16,15.715515818431914,0,0,1,0,1,0,0
164,6.155,1,-2.35746511727699,214.556,0,1,1,2769.728,2,16,34.858813972380176,0,0,1,0,0,0,1
165,19.5,1,-2.55607396652556,233.4958,0,2,1,5375.0034,0,6,11.97414358974359,0,0,1,0,0,0,1
166,15.2,0,-3.847759037601886,216.8824,0,2,1,2838.9712,2,6,14.268578947368422,0,0,1,0,0,0,1
167,12.15,1,-3.1585937558339188,125.0046,1,3,2,1743.0644,2,4,10.288444444444444,0,0,1,0,1,0,0
168,14.6,0,-3.666002107634798,198.8084,1,3,3,5555.4352,1,28,13.617013698630137,1,0,0,0,0,1,0
169,12.6,0,-3.016326894394277,61.9194,1,3,2,619.194,2,4,4.914238095238096,0,0,1,1,0,0,0
170,14.5,0,-3.9387937658727306,164.821,0,2,1,2120.573,1,9,11.366965517241379,0,0,1,0,0,1,0
171,16.6,0,-2.0962308811712105,173.0738,0,2,1,3823.0236,2,6,10.426132530120482,0,0,1,0,0,1,0
172,11.8,1,-2.8581675781415066,151.4366,2,3,1,1360.2294,2,26,12.833610169491525,0,0,1,0,0,1,0
173,13.1,1,-3.1200355876001744,178.8318,2,3,1,3969.4996,2,26,13.65128244274809,0,0,1,0,0,1,0
174,17.7,0,-1.2314625350397068,115.1834,0,3,0,345.5502,2,15,6.507536723163843,0,1,0,0,1,0,0
175,17.85,0,-2.6580090625847155,196.5794,0,3,0,585.2382,2,15,11.012851540616245,0,1,0,0,0,1,0
176,12.3,1,-2.7372211923021785,92.6804,0,2,1,1010.6844,2,11,7.5349918699186995,0,0,1,0,1,0,0
177,11.8,0,-2.3196049017240394,81.4618,0,3,0,161.1236,1,15,6.903542372881355,0,1,0,0,1,0,0
178,9.395,1,-1.6554103194625305,42.1112,0,1,0,42.6112,0,28,4.482299095263438,0,1,0,1,0,0,0
179,11.1,0,-1.7340206921647598,157.4604,0,2,1,3010.7476,2,11,14.185621621621621,0,0,1,0,0,1,0
180,14.0,1,-2.811172540013989,153.0656,1,3,3,6024.1584,2,28,10.933257142857142,1,0,0,0,0,1,0
181,11.3,0,-4.920613802052041,198.1426,0,2,1,988.713,2,11,17.534743362831858,0,0,1,0,0,1,0
182,10.0,0,-2.05199399959008,117.944,0,1,0,239.688,1,28,11.7944,0,1,0,0,1,0,0
183,5.75,1,-2.5888327813334246,112.8176,2,3,1,1374.2112,2,26,19.620452173913044,0,0,1,0,1,0,0
184,6.215,1,-3.008181322404435,226.8062,1,3,3,4739.8302,2,28,36.493354786806115,1,0,0,0,0,0,1
185,11.35,1,-3.0974152042690575,100.0016,1,3,2,1012.016,2,4,8.810713656387666,0,0,1,0,1,0,0
186,11.1,1,-2.362826194613754,165.7526,0,1,0,657.8104,2,28,14.932666666666668,0,1,0,0,0,1,0
187,14.0,0,-3.5436427171183476,130.431,1,1,1,778.986,1,14,9.316500000000001,0,0,1,0,1,0,0
188,19.75,1,-4.014076716817042,179.766,0,2,1,2336.958,2,11,9.102075949367087,0,0,1,0,0,1,0
189,6.525,0,-2.4031118213595226,85.0882,1,1,1,2233.0932,1,14,13.040337164750957,0,0,1,0,1,0,0
190,10.3,0,-1.9214146446699756,103.9648,1,1,1,1661.8368,2,14,10.09366990291262,0,0,1,0,1,0,0
191,5.78,1,-2.6001241731870652,264.7568,1,1,1,4745.8224,2,14,45.80567474048443,0,0,1,0,0,0,1
192,11.85,1,-2.9920047095609537,164.1526,0,2,1,3124.5994,2,11,13.852540084388187,0,0,1,0,0,1,0
193,16.35,0,-3.8809287806096298,50.1324,1,3,2,467.3916,2,4,3.066201834862385,0,0,1,1,0,0,0
194,17.6,0,-4.159774360429104,182.5976,1,3,3,5070.7328,1,28,10.374863636363635,1,0,0,0,0,1,0
195,10.5,0,-3.184584428358559,37.6164,0,1,1,540.6296,2,16,3.5825142857142858,0,0,1,1,0,0,0
196,19.0,1,-2.3298213656965423,48.0718,0,1,1,992.7078,2,16,2.5300947368421056,0,0,1,1,0,0,0
197,14.6,0,-2.820385047630618,238.8538,1,1,1,6008.845,1,14,16.359849315068494,0,0,1,0,0,0,1
198,15.6,1,-2.316038667847025,62.9194,1,3,3,2105.2596,2,28,4.0332948717948724,1,0,0,1,0,0,0
199,4.615,1,-2.289287390647209,232.63,1,3,3,5359.69,2,28,50.407367280606714,1,0,0,0,0,0,1
200,18.75,0,-2.9536990576585906,104.628,0,2,1,745.696,1,11,5.58016,0,0,1,0,1,0,0
201,5.26,1,-3.1757088938617954,161.8868,0,2,1,3275.736,2,9,30.776958174904944,0,0,1,0,0,1,0
202,18.25,0,-2.9124176444580394,140.2154,0,2,1,1701.7848,2,11,7.683035616438356,0,0,1,0,0,1,0
203,10.3,0,-2.546409986561366,177.937,1,3,3,6704.606,2,28,17.275436893203885,1,0,0,0,0,1,0
204,15.1,0,-2.9500121695813255,242.7512,0,1,1,4119.9704,2,16,16.076238410596027,0,0,1,0,0,0,1
205,15.5,1,-3.159075966605151,81.5934,0,3,0,327.5736,2,15,5.264090322580645,0,1,0,0,1,0,0
206,13.65,0,-2.722155976417958,45.7402,1,1,1,780.9834,2,14,3.350930402930403,0,0,1,1,0,0,0
207,16.1,0,-3.7454449802171474,189.3846,0,2,1,3630.6074,0,11,11.763018633540373,0,0,1,0,0,1,0
208,5.175,1,-2.9633888471252403,107.3622,0,1,0,317.5866,2,28,20.74631884057971,0,1,0,0,1,0,0
209,12.85,0,-1.7976112435106768,39.7164,0,3,0,231.6984,2,15,3.0907704280155643,0,1,0,1,0,0,0
210,9.5,0,-3.17298516973909,32.99,0,2,1,133.16,0,9,3.4726315789473685,0,0,1,1,0,0,0
211,13.8,0,-2.8457362351667848,245.1802,0,2,1,5650.6446,0,9,17.76668115942029,0,0,1,0,0,0,1
212,5.78,1,-2.6424436971410574,263.7568,0,2,1,2636.568,2,6,45.632664359861586,0,0,1,0,0,0,1
213,19.7,0,-3.6154909349902047,96.0726,0,2,1,1272.3438,1,11,4.876781725888325,0,0,1,0,1,0,0
214,14.65,0,-2.520415919356675,161.5552,0,3,0,324.9104,1,15,11.027658703071673,0,1,0,0,0,1,0
215,6.67,1,-1.8934287326143848,130.0626,0,3,0,131.1626,2,15,19.499640179910045,0,1,0,0,1,0,0
216,6.11,1,-2.40614375796027,131.2968,0,3,0,260.9936,2,15,21.488837970540096,0,1,0,0,1,0,0
217,13.65,1,-2.0026610501751447,260.0936,0,3,0,260.9936,2,15,19.054476190476187,0,1,0,0,0,0,1
218,17.2,0,-1.8568178694793573,160.6578,2,3,1,3690.5294,2,26,9.340569767441862,0,0,1,0,0,1,0
219,6.32,0,-4.405640694861061,40.2822,0,2,1,1139.1838,2,9,6.373765822784811,0,0,1,1,0,0,0
220,4.88,1,-2.0121511703575217,52.9298,1,1,1,1995.4026,2,14,10.84627049180328,0,0,1,1,0,0,0
221,5.425,1,-2.1617810416292165,88.3514,0,2,1,1416.8224,2,6,16.285972350230416,0,0,1,0,1,0,0
222,15.85,1,-2.206993161976231,37.2506,0,1,1,265.6542,2,16,2.3501955835962143,0,0,1,1,0,0,0
223,7.5,0,-2.9751839439707286,121.7072,0,2,1,3552.7088,2,6,16.227626666666666,0,0,1,0,1,0,0
224,12.65,0,-2.767195802209201,161.5578,2,3,1,2406.867,0,26,12.771367588932804,0,0,1,0,0,1,0
225,9.06,0,-4.067684150433793,211.956,0,1,0,213.056,1,28,23.394701986754963,0,1,0,0,0,0,1
226,20.75,0,-3.724327083110071,124.173,2,3,1,2956.152,2,26,5.984240963855422,0,0,1,0,1,0,0
227,8.93,0,-3.000644820377202,152.134,0,1,0,153.134,0,28,17.036282194848823,0,1,0,0,0,1,0
